sa2_code,sa2_name,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000
210031440,Hadfield,1991,455,630,0.22852837769964843,0.3164239075841286
210031535,Glenroy - East,4617,1017,1540,0.2202729044834308,0.33354992419319907
210031536,Glenroy - West,2651,455,1059,0.17163334590720483,0.3994718973972086
210031537,Oak Park,2386,350,1100,0.14668901927912825,0.46102263202011734
210031538,Pascoe Vale,5553,991,2331,0.17846209256257878,0.419773095623987
210041240,Sunbury,3759,503,1698,0.13381218409151371,0.45171588188347966
210041539,Diggers Rest,1716,171,798,0.09965034965034965,0.46503496503496505
210041540,Sunbury - South,4908,908,1848,0.1850040749796251,0.3765281173594132
210041541,Sunbury - West,3383,431,1490,0.12740171445462606,0.4404374815252734
210051242,Broadmeadows,3898,1022,866,0.26218573627501285,0.22216521292970753
210051243,Campbellfield - Coolaroo,4370,1135,853,0.2597254004576659,0.1951945080091533
210051245,Gladstone Park - Westmeadows,5585,1090,1944,0.19516562220232767,0.3480752014324082
210051246,Greenvale - Bulla,5184,555,2541,0.10706018518518519,0.49016203703703703
210051247,Meadow Heights,3784,794,930,0.20983086680761098,0.24577167019027485
210051248,Melbourne Airport,3,3,0,1.0,0.0
210051250,Tullamarine,2472,521,723,0.21076051779935276,0.2924757281553398
210051441,Craigieburn - Central,2298,380,736,0.16536118363794605,0.3202785030461271
210051442,Craigieburn - North,2959,338,1283,0.11422777965528895,0.4335924298749578
210051443,Craigieburn - South,5295,663,2133,0.12521246458923513,0.4028328611898017
210051445,Mickleham - Yuroke,5919,429,2671,0.07247845919918905,0.4512586585571887
210051542,Craigieburn - North West,2474,202,1048,0.08164915117219078,0.423605497170574
210051543,Craigieburn - West,3344,417,1286,0.12470095693779905,0.3845693779904306
210051544,Roxburgh Park (South) - Somerton,2253,340,806,0.1509098979138926,0.35774522858411006
210051545,Roxburgh Park - North,3123,464,1040,0.14857508805635608,0.3330131284021774
211011251,Bayswater,4403,792,1578,0.17987735634794458,0.358392005450829
211011254,Knoxfield - Scoresby,4841,735,2008,0.15182813468291675,0.4147903325759141
211011255,Lysterfield,1385,140,730,0.10108303249097472,0.5270758122743683
211011256,Rowville - Central,4398,584,1959,0.13278763074124603,0.44542974079126874
211011257,Rowville - North,1996,273,916,0.13677354709418837,0.4589178356713427
211011258,Rowville - South,2577,334,1261,0.1296080714008537,0.48932867675591774
211011259,Wantirna,4082,653,1603,0.15997060264576188,0.39269965703086723
211011260,Wantirna South,5114,1031,1868,0.20160344153304655,0.36527180289401645
211011446,Boronia,8183,1443,2852,0.17634119516069902,0.34852743492606625
211011447,Ferntree Gully - North,4815,945,1706,0.19626168224299065,0.3543094496365524
211011448,Ferntree Gully (South) - Upper Ferntree Gully,4645,681,2001,0.14660925726587729,0.4307857911733046
211011449,The Basin,1254,153,571,0.12200956937799043,0.45534290271132377
211021261,Donvale - Park Orchards,3685,693,1432,0.1880597014925373,0.3886024423337856
211021262,Warrandyte - Wonga Park,1998,261,959,0.13063063063063063,0.47997997997998
211031263,Bayswater North,3686,567,1448,0.15382528486163863,0.39283776451437874
211031265,Croydon Hills - Warranwood,4529,576,2152,0.12718039302274234,0.47516007948774563
211031266,Ringwood,6312,1226,2228,0.19423320659062104,0.35297845373891
211031267,Ringwood East,6341,1091,2519,0.17205488093360669,0.3972559533196657
211031268,Ringwood North,2468,344,1110,0.1393841166936791,0.4497568881685575
211031450,Croydon - East,5779,1138,1923,0.19691988233258348,0.3327565322720194
211031451,Croydon - West,4435,927,1595,0.20901916572717025,0.3596392333709132
211031452,Croydon South,1527,246,621,0.16110019646365423,0.4066797642436149
211041269,Forest Hill,3348,804,1127,0.24014336917562723,0.3366188769414576
