sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
208031193,Mordialloc - Parkdale,2090.0,6165,1144,2384,0.1855636658556366,0.3866991078669911,1701.0,0.2286890064667842,42.0
208041194,Malvern - Glen Iris,2364.0,5419,964,2128,0.1778926001107215,0.3926923786676508,2075.0,0.1392771084337349,40.0
208041195,Malvern East,2386.0,5360,1008,2120,0.1880597014925373,0.3955223880597014,1937.0,0.2318017552916881,38.0
209011196,Bundoora - East,1705.0,2954,553,1034,0.1872037914691943,0.3500338524035206,1362.0,0.2518355359765051,39.0
209011197,Greensborough,2078.0,6071,962,2581,0.158458244111349,0.4251358919453137,1727.0,0.2032426172553561,42.0
209011198,Heidelberg - Rosanna,2102.0,4720,834,1899,0.1766949152542372,0.4023305084745763,1731.0,0.2143269786250722,40.0
209011199,Heidelberg West,1618.0,5062,1195,1725,0.2360726985381272,0.3407743974713552,1194.0,0.355108877721943,35.0
209011200,Ivanhoe,2280.0,3432,579,1401,0.1687062937062937,0.4082167832167832,1925.0,0.1844155844155844,41.0
209011201,Ivanhoe East - Eaglemont,2914.0,1651,259,729,0.1568746214415505,0.4415505754088431,2416.0,0.2061258278145695,45.0
209011202,Montmorency - Briar Hill,2068.0,4959,762,2059,0.1536600120992135,0.4152046783625731,1731.0,0.194685153090699,42.0
209011203,Viewbank - Yallambie,2025.0,5345,946,2177,0.1769878391019644,0.4072965388213283,1684.0,0.2024940617577197,40.0
209011204,Watsonia,1961.0,2862,493,1190,0.1722571628232005,0.4157931516422082,1545.0,0.2692556634304207,39.0
209021205,Kingsbury,1727.0,2939,568,969,0.1932630146308268,0.3297039809459,1367.0,0.2633504023408924,34.0
209021428,Preston - East,1787.0,7192,1438,2684,0.1999443826473859,0.3731924360400445,1386.0,0.2893217893217893,36.0
